Id,pltStarts,pltMnSt,pltCompl,pltSubs,pltMnSub,pltUnSub,pltTSPPM,pltTSonG,pltTSonGA,pltTSonxG,pltTSonxGA
972aeb2a,38,90,38,0,,0,2.34,91,29,76.1,27.9
1c7012b8,37,87,29,1,24,0,2.34,84,28,71.6,26.5
79300479,35,88,22,0,,1,2.37,81,23,68.6,24.9
35e413f1,35,85,27,2,7,0,2.32,81,26,67.4,24.7
bc7dc64d,35,83,17,0,,0,2.29,78,27,66.4,25.0
67ac5bb8,34,89,32,2,13,2,2.36,78,26,65.0,25.7
98ea5115,32,90,32,0,,3,2.28,80,24,65.0,22.1
fed7cb61,30,83,18,7,19,0,2.41,77,22,60.7,20.6
48a5a5d6,24,74,4,11,22,0,2.34,52,23,43.8,14.5
51cf8561,20,79,7,7,21,5,2.26,38,15,38.5,12.1
38ceb24a,18,72,3,16,22,3,2.32,45,10,37.3,13.6
b66315ae,17,78,4,10,16,3,2.19,29,11,31.3,11.4
dc3e663e,11,80,7,9,7,18,2.65,39,8,24.8,5.4
b3af9be1,10,85,7,12,25,1,2.41,30,10,24.5,12.2
a53649b7,10,78,3,17,18,11,2.15,24,10,22.3,10.3
45db685d,10,78,3,14,10,13,2.42,25,11,21.2,8.2
529f49ab,9,79,4,5,16,3,2.71,20,5,15.3,8.4
466fb2c5,6,90,6,0,,31,2.67,11,5,11.1,5.8
17695062,3,76,0,10,13,18,2.23,12,3,7.8,2.0
6412cc03,2,62,0,9,19,13,2.36,11,2,8.2,1.8
c5bdb6e3,1,74,0,14,14,15,2.27,10,1,7.0,2.2
41034650,1,49,0,1,22,0,3.00,3,0,1.9,0.3
839c14e1,0,,0,3,21,15,3.00,1,0,0.9,0.5
47a34c4f,0,,0,3,9,13,3.00,1,0,0.8,0.1
7f94982c,0,,0,1,14,1,3.00,0,0,0.0,0.1
9b67eca8,0,,0,0,,2,,,,,
aaab4602,0,,0,0,,1,,,,,
aa81d8f8,0,,0,0,,5,,,,,
5dff6c28,0,,0,0,,1,,,,,
187ab096,0,,0,0,,1,,,,,
d4632cfa,0,,0,0,,1,,,,,
501ac0cc,0,,0,0,,8,,,,,
