Id,SCA,SCA90,SCATPassLive,SCATPassDead,SACTTO,SCATSh,SCATFld,SCATDef,GCA,GCA90,GCATPassLive,GCATPassDead,GCATTO,GCATSh,GCATFld,GCATDef
972aeb2a,29,0.76,26,0,1,2,0,0,3,0.08,3,0,0,0,0,0
1c7012b8,100,2.79,71,16,3,5,0,5,12,0.33,6,5,0,1,0,0
79300479,220,6.41,178,17,8,10,6,1,23,0.67,18,2,0,2,1,0
35e413f1,86,2.59,76,5,1,2,0,2,7,0.21,6,0,0,1,0,0
bc7dc64d,188,5.80,137,26,10,9,4,2,21,0.65,16,2,1,1,1,0
67ac5bb8,23,0.68,20,1,0,1,0,1,3,0.09,3,0,0,0,0,0
98ea5115,4,0.12,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
fed7cb61,106,3.62,87,0,3,8,6,2,22,0.75,16,0,2,2,2,0
48a5a5d6,92,4.10,63,6,12,8,1,2,11,0.49,7,1,1,2,0,0
51cf8561,67,3.50,64,1,1,1,0,0,6,0.31,5,1,0,0,0,0
38ceb24a,65,3.55,46,3,7,5,4,0,6,0.33,1,1,2,0,2,0
b66315ae,59,3.59,37,1,9,5,3,4,8,0.49,4,1,1,1,1,0
dc3e663e,13,1.24,10,2,0,0,1,0,4,0.38,3,1,0,0,0,0
b3af9be1,17,1.33,16,0,0,1,0,0,2,0.16,2,0,0,0,0,0
a53649b7,28,2.33,17,0,3,5,3,0,8,0.67,3,0,1,1,3,0
45db685d,27,2.64,25,0,0,1,0,1,5,0.49,5,0,0,0,0,0
529f49ab,25,2.86,24,0,0,0,1,0,4,0.46,4,0,0,0,0,0
466fb2c5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
17695062,13,3.31,10,1,0,1,1,0,2,0.51,1,1,0,0,0,0
6412cc03,12,3.64,7,1,0,1,3,0,5,1.52,1,1,0,0,3,0
c5bdb6e3,9,3.02,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0
41034650,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
839c14e1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
47a34c4f,1,3.21,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
7f94982c,1,6.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
